gene,log2FC,pvalue,negLog10P,significance,|log2FC|
OAS2,0.249380738493055,0.256622570565927,0.590705149047777,NS,0.249380738493055
H2AFZ,-0.2492539294508,0.0111928121768763,1.95106078393991,NS,0.2492539294508
THAP5,-0.249182112578666,0.253947896041482,0.595255380950602,NS,0.249182112578666
OR4H12P,0.24883761288143,0.149085255084103,0.826565307266441,NS,0.24883761288143
DTX2,0.248825797213929,0.110417764621997,0.956961049282082,NS,0.248825797213929
ZNF676,0.248689639679368,0.500231932389898,0.300828588459011,NS,0.248689639679368
GTSF1L,0.248469723910835,0.303909868763116,0.517255196992201,NS,0.248469723910835
MIR412,0.248057811619558,0.0724247473322224,1.14011301124209,NS,0.248057811619558
CDKN2AIPNL,-0.248055383242328,0.0956421687851802,1.01935058436767,NS,0.248055383242328
FYB,-0.247817451768591,2.59531185585471E-07,6.58581044932251,NS,0.247817451768591
SPINK1,0.247656061718816,0.143937045820843,0.841827415062952,NS,0.247656061718816
CDADC1,0.247212773620238,0.0555234243139493,1.2555237573444,NS,0.247212773620238
