"gene","log2FC","negLog10P","significance"
"TLN2",0.00222938781328708,0.0128959242773849,"NS"
"TRIL",-0.00223184564469125,0.0177048389129538,"NS"
"UROD",-0.00223980244417099,0.0192136567830235,"NS"
"CRYBB3",-0.00224031869361707,0.0118352836790206,"NS"
"PIN1P1",0.0022429637714696,0.0132760826766312,"NS"
"ZSCAN29",0.00224596191931958,0.0042151339429772,"NS"
"LGALS12",-0.00224807563178353,0.0112164134951618,"NS"
"DNHD1",-0.00224997220305534,0.0260503885499921,"NS"
"SNRPD3",0.00225105153124749,0.00862270886427222,"NS"
"RUFY2",-0.00226164963353792,0.00955675504902057,"NS"
"SAFB2",-0.00226465468582404,0.0122579833699419,"NS"
"SF3B14",-0.0022689517894996,0.0217211406871166,"NS"
"PTRH1",0.00228373627220679,0.0110199520164054,"NS"
"HDAC4",-0.00228490974922968,0.032353591688951,"NS"
"TMEM55A",-0.00228756987867307,0.0059855901437801,"NS"
"PLAA",0.00228966167605682,0.0159388516419554,"NS"
"C1orf56",0.00230254701599808,0.01484416821481,"NS"
"MLL4",0.00230556579822694,0.0178215720810159,"NS"
"MUTYH",0.00231005690620134,0.00947745419539635,"NS"
"CCBL1",-0.0023109897008613,0.00985865292040406,"NS"
"EXD2",-0.00231120937690754,0.0185369953342169,"NS"
"RAD51",0.00231261251186954,0.0132181961160531,"NS"
"MT1IP",0.00231427902244863,0.0142290486454303,"NS"
"SEC16B",-0.00231536888521888,0.00848297961991575,"NS"
"TMEM204",0.00232431136247691,0.0250940048755261,"NS"
"CSMD2",-0.00232659838097349,0.0115170193582877,"NS"
"C3orf18",-0.00233194959562266,0.00824892527155759,"NS"
"ATXN7L3B",0.00233772345633865,0.0173984061366208,"NS"
"RAB5B",0.00234584462977638,0.0140700871789021,"NS"
"CRYGS",-0.00234957549519077,0.00461023019157057,"NS"
"SMARCA4",0.0023571797794153,0.0247486942256091,"NS"
"SMYD4",-0.00236199132812565,0.00952095662054958,"NS"
"ARHGAP17",0.0023856514242897,0.0162059358302646,"NS"
