"gene","log2FC","pvalue","negLog10P","significance"
"CD302",-9.12578009466536e-05,0.997305394687915,0.00117183173996419,"NS"
"C16orf62",9.15410519222171e-05,0.998123248379354,0.000815828666319312,"NS"
"DHX37",9.42314756171569e-05,0.99611533254618,0.00169037504155353,"NS"
"ZNF764",-9.78070878341342e-05,0.99774402770369,0.000980863136116142,"NS"
"SMARCA5",9.86084629235329e-05,0.996919893060486,0.00133973777612864,"NS"
"ARMCX2",-0.000101203168861863,0.997751708388103,0.000977519927912134,"NS"
"LOC642648",0.000102195939144067,0.995478315882405,0.00196819560159668,"NS"
"HIGD2A",0.000105072904943437,0.997057714343834,0.00127970197360023,"NS"
"LUZP6",0.000106336483425284,0.99601010294434,0.00173625632456947,"NS"
"MYH14",0.00010825458988295,0.994710026963102,0.00230350422294913,"NS"
"ELF4",-0.000109968882903599,0.997342561315221,0.00115564716854316,"NS"
"OR56A3",0.000112444537386347,0.998522290924889,0.000642235532769819,"NS"
"BAZ2B",-0.000115310502669441,0.996735825218419,0.00141993181123697,"NS"
"FKTN",0.000119028124156539,0.998000141978718,0.000869396928491128,"NS"
"FKBP1B",0.000119695870237635,0.992669549383732,0.00319530010844475,"NS"
"HS3ST3B1",0.000120988823297807,0.998139633022282,0.000808699585196851,"NS"
"CENPB",-0.000121230308221865,0.996691063899542,0.00143943550500218,"NS"
"SCAI",0.000126502904996162,0.997581302430174,0.00105169939268378,"NS"
"ADD1",-0.000133208228709769,0.994702096103498,0.00230696688261901,"NS"
"BARX2",-0.000135332335405192,0.996830900521887,0.00137850788580755,"NS"
"ZNF548",0.000140287574323716,0.995772099287669,0.00184004646301042,"NS"
"BTRC",-0.000140700849563746,0.996404957949467,0.00156412015124966,"NS"
"CDY1",-0.00014080340405731,0.998408527904076,0.000691718120520311,"NS"
"CRLF1",-0.000141719013667441,0.994971616628775,0.00218930811590339,"NS"
"SEZ6L",-0.000144939810901246,0.996922684323793,0.00133852180224459,"NS"
"TFCP2L1",0.000145183699546081,0.997668354372474,0.00101380320453006,"NS"
"CPXM1",-0.000149870277607045,0.997388170870328,0.00113578686580753,"NS"
"TAF6",0.000152035446063792,0.995854075729933,0.00180429485762606,"NS"
"SLC7A5P2",-0.000153433300848604,0.995427443489761,0.00199039012216332,"NS"
"UBE4B",-0.000157143250268277,0.995496061760371,0.00196045372710145,"NS"
"ZNF554",-0.000165183811557945,0.996507957495285,0.00151922894292798,"NS"
"PIBF1",-0.000170209541427546,0.996262366842949,0.00162627456113498,"NS"
"BRD4",-0.000173132202784476,0.993641296318358,0.00277036725758067,"NS"
"CLEC2B",-0.000173432363241188,0.998404195135442,0.000693602821561424,"NS"
"CTU1",-0.000173445311867582,0.993510567633041,0.00282750908732349,"NS"
"SLC1A3",0.000180826726593031,0.996908448936506,0.00134472328043746,"NS"
"VWA3A",-0.00018716098323357,0.995475233672267,0.00196954027069266,"NS"
"BZW1",-0.000193110909464611,0.996258756255381,0.00162784850505829,"NS"
"NKX6-3",-0.000193662878928968,0.993545106924645,0.00281241114724457,"NS"
"RPL21",-0.000198158894107792,0.993644221967298,0.00276908853524421,"NS"
"PRNT",0.000201462619513371,0.995997483560741,0.0017417588424308,"NS"
"CCR5",0.00020352514583255,0.996410451053966,0.00156172592551096,"NS"
