"gene","log2FC","pvalue","negLog10P","significance"
"NUDT18",-0.00164388932023196,0.970639470393286,0.0129420523721979,"NS"
"VRK2",-0.00164632108666019,0.987613535203249,0.0054129667111448,"NS"
"CLSTN2",0.00165564305547394,0.961400504887471,0.017095654133953,"NS"
"TMUB2",-0.0016634629329757,0.977663602192583,0.00981055302748774,"NS"
"RTN4RL2",-0.00166435983044089,0.966156896712722,0.0149523416553143,"NS"
"ANKRD30B",-0.00167133340058745,0.978978498320576,0.00922684666802926,"NS"
"INTS12",0.00168126031631011,0.969761695799853,0.0133349738926832,"NS"
"GABRD",-0.00168373738513061,0.981590024682261,0.0080698637360869,"NS"
"SOCS7",0.00169366033110441,0.982793500874866,0.0075377241328554,"NS"
"FAM171A1",-0.00170001373350592,0.969960569233663,0.0132459202825239,"NS"
