"gene","log2FC","negLog10P","significance"
"SLITRK5",0.000928022935201334,0.0158595651578752,"NS"
"NIN",0.000929662371852435,0.0178201312770383,"NS"
"HOXB4",-0.0009335296463584,0.0268254400795388,"NS"
"C20orf196",-0.000934230419309845,0.0172456985373407,"NS"
"HMOX1",-0.000935650101983487,0.0204531401184689,"NS"
"KIAA1737",-0.000937363001435543,0.0219320569743673,"NS"
"KCTD15",-0.00094033969101126,0.0198607846679178,"NS"
"MEOX1",0.000940535662554698,0.0174679732395496,"NS"
"TBX15",-0.000941731635595078,0.0137275588610704,"NS"
"ACAD9",0.000944289010448518,0.0187329849514964,"NS"
"BRWD1",-0.0009457062468754,0.0184226154846685,"NS"
"C14orf182",-0.000946128400439283,0.0111164175603451,"NS"
"SORBS3",0.000954653494533275,0.0208527728393038,"NS"
"EN2",-0.000955953436888368,0.0242254875320009,"NS"
"PAX5",0.000959286129554426,0.0149461391378767,"NS"
"DBP",0.000959971084407485,0.0178717794750401,"NS"
"KRTAP10-10",-0.000960377614944719,0.0234650551609716,"NS"
"UBXN4",0.000962658130520211,0.037253351841338,"NS"
"RNF148",0.000963730264130325,0.0160717513812164,"NS"
"PPP2R3B",-0.000965676896695689,0.0175971302033555,"NS"
"PHTF1",-0.000967197125334884,0.0127192333207131,"NS"
"SDC1",-0.000972806032096152,0.0232008571340919,"NS"
"CELF4",-0.000973337772774308,0.0276290250653686,"NS"
"DUS3L",-0.000979456476518203,0.016058289889198,"NS"
"CD300LF",0.000980280185251425,0.0186973940848411,"NS"
"ZNF174",-0.000985138822147125,0.0215796207452432,"NS"
"RELL2",-0.00099008219925234,0.0209924536731464,"NS"
"TMEM163",0.000996369904178396,0.0116414988178619,"NS"
"FBXO42",0.00100116710715836,0.0129880959076574,"NS"
"DLG3",-0.00100542042028384,0.0193104855898271,"NS"
"FLJ46111",0.00100573992725383,0.016232330406447,"NS"
"TSPAN5",0.00100682707306698,0.0114202889130296,"NS"
"RTP1",-0.00100718634912167,0.0239744900964512,"NS"
"TNIP2",-0.00100798553304493,0.022123711636181,"NS"
"SIRT4",-0.00101114363226751,0.0162547986297819,"NS"
"MIR214",0.00101563509934266,0.0174097766095332,"NS"
"SLC24A6",0.00101981062936418,0.0176310756807107,"NS"
"PLAC8",0.00102041928930818,0.00846163330960476,"NS"
"BCL7A",-0.00102270404824689,0.0193580699361908,"NS"
"ZNF502",0.00102516421093302,0.0096988788860882,"NS"
"TNFRSF11A",0.00102558772155659,0.0230416822846823,"NS"
"PTDSS2",0.00102936618545812,0.0239986008940456,"NS"
"RARS2",-0.00103712457691874,0.0184492540959693,"NS"
"ERLEC1",-0.00104028606831896,0.0198527776124862,"NS"
"HPX",0.00104193077510106,0.0139617840488841,"NS"
"PALM3",-0.00104204143313735,0.0221692358356293,"NS"
"PTGS2",-0.00104348314267444,0.00778619915858952,"NS"
"TMEM8B",-0.00104480661895989,0.0206890114279017,"NS"
"TMCO1",0.0010500578839201,0.0172105396024312,"NS"
"UBP1",0.00105169873877164,0.028780544510261,"NS"
"SP3",-0.00105592828592638,0.0232964393498557,"NS"
"ZNF780B",-0.00105833251974552,0.0148364050032839,"NS"
"C19orf57",-0.00105929524166792,0.0184134123258163,"NS"
"ABCB7",0.00105942210236654,0.0109242833052007,"NS"
"GLI1",0.00106072080527242,0.0206279375644523,"NS"
"HSCB",-0.00107193466314648,0.0211609634856491,"NS"
"MVD",-0.00107207419577193,0.0258091567114972,"NS"
"TRNAU1AP",0.00108147693378413,0.0168612926821577,"NS"
"ADAT3",0.00108223912769612,0.0287101711505216,"NS"
"EDC4",-0.00108230160404732,0.0274687503044381,"NS"
"CUL4B",0.00108410644245494,0.0297377890122118,"NS"
"MRFAP1L1",0.00108478469911022,0.0243455263365772,"NS"
"LMF1",0.00108730300419513,0.0245133305315119,"NS"
"SNRPD1",0.00108763952146873,0.0134271225327037,"NS"
"PCDH8",-0.0010883268878521,0.0229411857099493,"NS"
"RNF13",-0.00109013907943289,0.0199093197714042,"NS"
"DLK1",-0.0011023278751976,0.0266225267585815,"NS"
"DCLRE1C",0.00110372269788472,0.0162362087782398,"NS"
"ZNRF3",0.00110414146827598,0.0217631643630514,"NS"
"SH2D1B",-0.00110569846856612,0.0126411916601758,"NS"
"DDX60L",0.00110905416337803,0.0132649025262317,"NS"
"SLC5A5",-0.00111308516813891,0.0184744919165134,"NS"
"IQSEC3",-0.00111358840592235,0.0532235194765634,"NS"
"GAFA3",-0.00111475355797785,0.00883382693189806,"NS"
"RHCE",0.00111518401098265,0.0106225111129624,"NS"
"MAFB",-0.00111845407418087,0.0187879512029601,"NS"
"PARN",0.00111925772437482,0.0224613796636521,"NS"
